Float representation
Function: 6 | Xmin: [2.120252000179196, -2.339245010866808]                                                                                            | F(X)=  0.010057 | f_count = 10000
Function: 6 | Xmin: [-3.1490376347140483, 0.7614240674323787]                                                                                          | F(X)=  0.019745 | f_count = 10000
Function: 6 | Xmin: [2.751200966777406, -1.5511576327350143]                                                                                           | F(X)=  0.010103 | f_count = 10000
Function: 6 | Xmin: [1.2739080655999828, -2.8413141020646577]                                                                                          | F(X)=  0.010313 | f_count = 10000
Function: 6 | Xmin: [1.9893489552534984, -2.4380087283787004]                                                                                          | F(X)=  0.009781 | f_count = 10000
Function: 6 | Xmin: [1.0979064480549887, 2.9043095296461154]                                                                                           | F(X)=  0.010823 | f_count = 10000
Function: 6 | Xmin: [-3.122774158833305, 0.3269251175319523]                                                                                           | F(X)=  0.009718 | f_count = 10000
Function: 6 | Xmin: [1.8044061503931257, -2.561776192759874]                                                                                           | F(X)=  0.009741 | f_count = 10000
Function: 6 | Xmin: [-3.0379079631444696, 0.733347097081916]                                                                                           | F(X)=  0.009890 | f_count = 10000
Function: 6 | Xmin: [-0.6304437526490478, 3.0489729091950393]                                                                                          | F(X)=  0.010330 | f_count = 10000
Function: 6 | Xmin: [0.7106737640288763, -3.1275504101307314]                                                                                          | F(X)=  0.014351 | f_count = 10000
Function: 6 | Xmin: [2.7101085563891703, 1.5944841107540668]                                                                                           | F(X)=  0.009750 | f_count = 10000
Function: 6 | Xmin: [-0.6415890245278573, 3.0366941450004896]                                                                                          | F(X)=  0.010901 | f_count = 10000
Function: 6 | Xmin: [2.2648049760521634, 2.137624789741812]                                                                                            | F(X)=  0.010291 | f_count = 10000
Function: 6 | Xmin: [2.32858117417058, 2.0445083681501046]                                                                                             | F(X)=  0.011265 | f_count = 10000
Function: 6 | Xmin: [-2.9114320956798423, -1.3848348851241985]                                                                                         | F(X)=  0.016872 | f_count = 10000
Function: 6 | Xmin: [-0.921087393246939, -3.0353023553325884]                                                                                          | F(X)=  0.010816 | f_count = 10000
Binary representation
Function: 6 | Xmin: [-0.0005722067726452451, 0.00019073559087701142]                                                                                   | F(X)=  0.000000 | f_count = 9126
Function: 6 | Xmin: [1.3032962924815834, 2.8551210598795294]                                                                                           | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [0.000953677954399268, 0.00019073559087701142]                                                                                     | F(X)=  0.000001 | f_count = 5887
Function: 6 | Xmin: [3.071033748755447, -0.6475473310368827]                                                                                           | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [0.3648771853530306, -3.1171917617483587]                                                                                          | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-2.393159458768693, 2.030380364915331]                                                                                            | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [2.875720503694545, -1.2571382794886787]                                                                                           | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [2.262314843425152, 2.17533941398397]                                                                                              | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-0.0005722067726452451, -0.0005722067726452451]                                                                                   | F(X)=  0.000001 | f_count = 6528
Function: 6 | Xmin: [0.000953677954399268, 0.00019073559087701142]                                                                                     | F(X)=  0.000001 | f_count = 3262
Function: 6 | Xmin: [-0.475122356881549, 3.1023143856597315]                                                                                           | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-0.0005722067726452451, -0.0005722067726452451]                                                                                   | F(X)=  0.000001 | f_count = 6399
Function: 6 | Xmin: [-1.0290185127964548, 2.9649847602262867]                                                                                          | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [0.00019073559087701142, -0.0005722067726452451]                                                                                   | F(X)=  0.000000 | f_count = 6655
Function: 6 | Xmin: [-2.8768649172398284, 1.254467981216358]                                                                                           | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [3.0779002300271188, -0.6139778670420384]                                                                                          | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-0.0005722067726452451, 0.00019073559087701142]                                                                                   | F(X)=  0.000000 | f_count = 9074
Function: 6 | Xmin: [3.11528440583956, 0.38089897498693404]                                                                                            | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [0.00019073559087701142, 0.000953677954399268]                                                                                     | F(X)=  0.000001 | f_count = 4109
Function: 6 | Xmin: [-0.0005722067726452451, 0.00019073559087701142]                                                                                   | F(X)=  0.000000 | f_count = 5449
Float representation
Function: 7 | Xmin: [0.1411198419356916, -1.032195284553139]                                                                                           | F(X)=  1.042192 | f_count = 10000
Function: 7 | Xmin: [0.03122119326807571, 0.350556182355701]                                                                                           | F(X)=  0.633983 | f_count = 10000
Function: 7 | Xmin: [-0.09516240891613581, 0.06929566426003197]                                                                                        | F(X)=  0.635983 | f_count = 10000
Function: 7 | Xmin: [-0.49696464760825787, -0.1221178034066881]                                                                                        | F(X)=  0.759879 | f_count = 10000
Function: 7 | Xmin: [0.22362513406444967, 0.2919491841861577]                                                                                          | F(X)=  0.611660 | f_count = 10000
Function: 7 | Xmin: [0.5103392714872932, 0.5390168708326222]                                                                                           | F(X)=  0.861809 | f_count = 10000
Function: 7 | Xmin: [-0.45281051432300945, 0.5798367972934368]                                                                                         | F(X)=  0.866441 | f_count = 10000
Function: 7 | Xmin: [-0.9837391582348014, 0.25118898221691977]                                                                                         | F(X)=  1.020522 | f_count = 10000
Function: 7 | Xmin: [-0.004405901999266604, -0.5211693317852192]                                                                                       | F(X)=  0.728022 | f_count = 10000
Function: 7 | Xmin: [-0.33439969902839994, -0.42989820841940585]                                                                                       | F(X)=  0.800853 | f_count = 10000
Function: 7 | Xmin: [0.08514270867283003, -0.10103245451005449]                                                                                        | F(X)=  0.679762 | f_count = 10000
Function: 7 | Xmin: [-0.3930353258856797, -0.6287683873552841]                                                                                         | F(X)=  0.861731 | f_count = 10000
Function: 7 | Xmin: [0.7134175850558311, -0.22718901420832882]                                                                                         | F(X)=  0.868863 | f_count = 10000
Function: 7 | Xmin: [0.2501170488832243, -0.21833969887569948]                                                                                         | F(X)=  0.835625 | f_count = 10000
Function: 7 | Xmin: [0.3114136540622212, -0.0699434716644376]                                                                                          | F(X)=  0.990338 | f_count = 10000
Function: 7 | Xmin: [0.9420444018740068, 0.42499529072990344]                                                                                          | F(X)=  1.020870 | f_count = 10000
Function: 7 | Xmin: [0.07936415151470406, 0.0648882405582425]                                                                                          | F(X)=  0.346184 | f_count = 10000
Function: 7 | Xmin: [-0.03259734929058311, -0.5079698729266044]                                                                                        | F(X)=  0.775331 | f_count = 10000
Function: 7 | Xmin: [0.13228233696026992, -0.727111803808322]                                                                                          | F(X)=  0.862587 | f_count = 10000
Function: 7 | Xmin: [-0.06831130834212533, 0.24515310669142673]                                                                                        | F(X)=  0.557143 | f_count = 10000
Binary representation
Function: 7 | Xmin: [-0.0005722067726452451, 0.00019073559087701142]                                                                                   | F(X)=  0.046135 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, -0.0005722067726452451]                                                                                   | F(X)=  0.035656 | f_count = 10000
Function: 7 | Xmin: [0.000953677954399268, -0.0005722067726452451]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [0.000953677954399268, -0.0005722067726452451]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, -0.0005722067726452451]                                                                                   | F(X)=  0.035656 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, 0.000953677954399268]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142, 0.00019073559087701142]                                                                                   | F(X)=  0.017346 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, -0.0005722067726452451]                                                                                   | F(X)=  0.035656 | f_count = 10000
Function: 7 | Xmin: [0.000953677954399268, -0.0005722067726452451]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142, 0.00019073559087701142]                                                                                   | F(X)=  0.017346 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, -0.0005722067726452451]                                                                                   | F(X)=  0.035656 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, 0.000953677954399268]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, 0.00019073559087701142]                                                                                   | F(X)=  0.046135 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, 0.000953677954399268]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142, -0.0005722067726452451]                                                                                   | F(X)=  0.046135 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142, 0.00019073559087701142]                                                                                   | F(X)=  0.017346 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, 0.000953677954399268]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, -0.0005722067726452451]                                                                                   | F(X)=  0.035656 | f_count = 10000
Function: 7 | Xmin: [0.000953677954399268, -0.0005722067726452451]                                                                                     | F(X)=  0.035603 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451, 0.000953677954399268]                                                                                     | F(X)=  0.035603 | f_count = 10000
