Float representation
Function: 6 | Xmin: [-0.00027622110525804544]                                                                                                          | F(X)=  0.000000 | f_count =  574
Function: 6 | Xmin: [3.6030693211307394, -19.24298183827283, 7.098455538718682, -16.832088086936057, -50, -6.04144636495325, 3.8955437140094062, 0.34592640651582585, -25.77621913252343, -3.6042989868354356] | F(X)=  0.479570 | f_count = 10000
Function: 6 | Xmin: [5.934043846624739, -13.498284539016026, -27.801015264743782, -7.598660613719529, -18.32229544735765, 40.49457113874598, 17.366971337240273, -13.012247972953958, -19.502458592053717, -6.318256255288716] | F(X)=  0.482114 | f_count = 10000
Function: 6 | Xmin: [3.7897998830978405, -7.693245063202216, 6.807232548591113, 0.819169305861017, 14.61303850426124, -5.066303488389526, 9.65906397317147, 26.39404477912207, -36.43468283250938, -7.710076211806874] | F(X)=  0.460815 | f_count = 10000
Function: 6 | Xmin: [9.269239134728998, -8.562013375574665, -5.190577165204163, -1.987037844933738, 44.84487505123739, -19.47111664546079, -8.004261739294252, -17.446269853382873, 1.80589248015103, -14.70622213967256] | F(X)=  0.475060 | f_count = 10000
Function: 6 | Xmin: [17.17719643977265, -15.798011143112316, 17.23725265557745, 10.936743102978335, 10.086007161083884, 0.1412509596227789, 0.550840241147398, 14.16625181363898, 5.316397989683072, 19.13954427269679] | F(X)=  0.431086 | f_count = 10000
Function: 6 | Xmin: [12.326682582650667, -6.467126069515015, 15.712354560465723, 11.385307917993565, 13.01286561613476, -19.037264593028212, 14.797598520307032, 21.439275191185416, -8.91236640578797, -36.67221868654684] | F(X)=  0.471948 | f_count = 10000
Function: 6 | Xmin: [6.208748956738205, 28.86497035869921, -4.381506146792029, 6.472566773861352, -5.66439317172676, -9.47813946808968, -1.7611918302264584, -16.91631126558586, 1.2392297349503814, -24.898110299278876] | F(X)=  0.456604 | f_count = 10000
Binary representation
Function: 6 | Xmin: [4.426782328728976, -12.052009780921104, 7.927161892554821, 1.8320153504003542, -9.50225640204011, 3.306782939082865, -5.904220215683807, -7.231739928207126, -5.084057174900721, -6.131577040012516] | F(X)=  0.272743 | f_count = 10000
Function: 6 | Xmin: [-5.253430379601973, -0.41484991016353945, 1.280408021576008, 0.5228062546014911, -7.629232899600602, 5.439206845118882, 13.57064655550596, -4.836863849120519, -4.92841693274282, 0.1932151535612192] | F(X)=  0.239062 | f_count = 10000
Function: 6 | Xmin: [-3.0294533899436615, 8.342202538309238, 2.7437314748057346, 0.718119499662393, 9.190594446542534, -1.7286366601435148, -17.835112896396247, 8.439859160839688, 0.19779280774233854, -8.390649378392709] | F(X)=  0.313575 | f_count = 10000
Function: 6 | Xmin: [2.505693457387757, -3.713049747656818, -8.038170006446862, -2.983676848132511, -4.488199188992269, 0.5815528165924704, -5.41746298775859, 17.63331464124542, -3.3041126408105512, 3.590597498311986] | F(X)=  0.278208 | f_count = 10000
Function: 6 | Xmin: [0.9187733412679293, -4.4363191082729685, 7.220677263936096, 0.09250676157669346, 1.3872199524686906, -0.9481466222634225, 0.6181740500413895, -7.716971271405306, 1.3788275864699742, 5.150814631708641] | F(X)=  0.170721 | f_count = 10000
Function: 6 | Xmin: [0.35877364644487386, -0.996974933528648, 0.27103527464017674, 7.0040016326966565, -3.658117897483436, 3.535665648138611, -6.970050697520058, 4.552667818709629, 3.882804423539824, -0.920680697176735] | F(X)=  0.143055 | f_count = 10000
Function: 6 | Xmin: [4.254357354573642, 1.6595903762450206, -2.9417150181389573, 6.700350572016035, 1.1148495286923534, 4.392449922370609, -5.113048984714453, 4.662531519056387, -0.9618795848067663, 2.8520692904254545] | F(X)=  0.166580 | f_count = 10000
Function: 6 | Xmin: [6.6339745863898685, 3.768363069011947, -11.413427022655576, 5.063076259903944, -0.06923701948936412, -4.147926894862728, 2.03877273091404, 7.507543592619292, -7.111957977134622, -5.028362382363824] | F(X)=  0.287568 | f_count = 10000
Function: 6 | Xmin: [-7.498769755438829, 8.555826400094602, -6.339097362889724, 9.543836760851896, 9.946670328790006, -2.306184029327504, -0.034141670767482424, -1.3769202305611827, -9.615171871840943, -4.779643171856584] | F(X)=  0.272895 | f_count = 10000
Function: 6 | Xmin: [1.0217705603430147, 8.472665682471018, 13.35625975135708, 6.82928783145077, 16.623178951946073, -3.0920146637522308, -3.4933223469633035, -1.9994811991928074, -0.9817160862582668, 5.35452024276826] | F(X)=  0.312354 | f_count = 10000
Float representation
Function: 7 | Xmin: [-0.00021451552456517968]                                                                                                          | F(X)=  0.015188 | f_count = 10000
Function: 7 | Xmin: [3.214770406645466e-05]                                                                                                            | F(X)=  0.005676 | f_count = 10000
Function: 7 | Xmin: [0.0012868064153641122]                                                                                                            | F(X)=  0.048759 | f_count = 10000
Function: 7 | Xmin: [-0.0009629619532446693]                                                                                                           | F(X)=  0.031349 | f_count = 10000
Function: 7 | Xmin: [-1.1488553269847724e-06]                                                                                                          | F(X)=  0.001083 | f_count = 10000
Function: 7 | Xmin: [-5.7884200930177244e-05]                                                                                                          | F(X)=  0.011679 | f_count = 10000
Function: 7 | Xmin: [-0.0009703689374020996]                                                                                                           | F(X)=  0.031361 | f_count = 10000
Function: 7 | Xmin: [-2.6377116092701013e-05]                                                                                                          | F(X)=  0.005365 | f_count = 10000
Function: 7 | Xmin: [0.0009620331081241826]                                                                                                            | F(X)=  0.031350 | f_count = 10000
Function: 7 | Xmin: [-1.9688827169313562e-07]                                                                                                          | F(X)=  0.000700 | f_count = 10000
Binary representation
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.046523 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Function: 7 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.046523 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.015984 | f_count = 10000
Float representation
Function: 7 | Xmin: [-2.0521374140376762, -1.4644757315496362, 0.03948863694003091]                                                                    | F(X)=  1.911639 | f_count = 10000
Function: 7 | Xmin: [-3.8895438142672525, -0.4046239047561728, -0.4928818973527065]                                                                    | F(X)=  2.057799 | f_count = 10000
Function: 7 | Xmin: [1.15219609754379, -2.9637346618065568, -2.2772078184636726]                                                                       | F(X)=  2.143561 | f_count = 10000
Function: 7 | Xmin: [3.7256734639279134, 0.46799828985045544, -1.4000668898083124]                                                                     | F(X)=  2.003283 | f_count = 10000
Function: 7 | Xmin: [1.012972881993132, 1.4918461627629251, 3.4897435326245287]                                                                        | F(X)=  2.091138 | f_count = 10000
Function: 7 | Xmin: [-1.2846615437190039, -1.3427207031557202, 0.21719649125444462]                                                                    | F(X)=  1.389121 | f_count = 10000
Function: 7 | Xmin: [1.1981880242570866, -1.7605529996100255, -3.4467758440063774]                                                                     | F(X)=  2.071345 | f_count = 10000
Function: 7 | Xmin: [-0.536366336629299, 0.8161872176934946, 0.16604132950083098]                                                                      | F(X)=  1.118293 | f_count = 10000
Function: 7 | Xmin: [-1.3696734337346124, 2.8692473605442084, 0.6717936338020198]                                                                      | F(X)=  2.155476 | f_count = 10000
Function: 7 | Xmin: [-0.9695160983027067, -1.6096094862871864, -0.05231974157441499]                                                                   | F(X)=  1.414266 | f_count = 10000
Binary representation
Function: 7 | Xmin: [-0.008201630407832283, 0.013923698134220786, 0.006294274499026642]                                                                | F(X)=  0.138608 | f_count = 10000
Function: 7 | Xmin: [0.000953677954399268, 0.005531332135511491, -0.01430516931598902]                                                                 | F(X)=  0.134772 | f_count = 10000
Function: 7 | Xmin: [-0.028038131859332793, -0.010490457498391947, 0.01621252522478045]                                                                | F(X)=  0.200543 | f_count = 10000
Function: 7 | Xmin: [0.025367833587012, -0.0196457658606235, -0.0005722067726452451]                                                                   | F(X)=  0.179139 | f_count = 10000
Function: 7 | Xmin: [0.00019073559087701142, -0.005149860953757468, 0.004768389771989234]                                                              | F(X)=  0.091278 | f_count = 10000
Function: 7 | Xmin: [0.010108986316623714, -0.028801074222847944, -0.01506811167950417]                                                                | F(X)=  0.200464 | f_count = 10000
Function: 7 | Xmin: [0.020790179405892673, -0.018882823497101242, 0.018501352315340114]                                                                | F(X)=  0.193517 | f_count = 10000
Function: 7 | Xmin: [0.0032425050449518267, 0.004768389771989234, 0.015449582861258193]                                                                | F(X)=  0.128425 | f_count = 10000
Function: 7 | Xmin: [-0.012779284588951612, -0.009727515134869691, 0.005531332135511491]                                                               | F(X)=  0.132842 | f_count = 10000
Function: 7 | Xmin: [0.012397813407183378, -0.005912803317272619, 0.03147137249516163]                                                                 | F(X)=  0.206257 | f_count = 10000
Float representation
Function: 7 | Xmin: [9.714285653651988, -10.670450311820339, -3.3737358003392437, -10.762024357391251, -15.294401210262553, -2.6579208709340403]       | F(X)=  5.036415 | f_count = 10000
Function: 7 | Xmin: [0.259976195070319, 2.6864017143609864, 0.6985486185024996, -9.246716176493276, 5.720192160094834, 16.659038267517708]             | F(X)=  4.481952 | f_count = 10000
Function: 7 | Xmin: [2.241270167362771, 0.5801505812815382, -10.717894939685605, -8.768067068401649, 2.5160791284222555, 0.994441294432705]            | F(X)=  4.102301 | f_count = 10000
Function: 7 | Xmin: [-13.524177740455716, 6.779779469087519, -0.5443291149129585, 20.01602910380594, -6.7895145179826635, 10.90098878285566]           | F(X)=  5.371051 | f_count = 10000
Function: 7 | Xmin: [6.072008313242316, 11.704802043655103, 27.726268046167696, 9.259835651170924, -7.676715004607702, 0.11989457038048146]            | F(X)=  5.771007 | f_count = 10000
Function: 7 | Xmin: [8.383643102605951, -24.64080822457385, -7.2890531804484695, 0.8054166098598081, 4.253147085687125, 7.689054076526418]             | F(X)=  5.724760 | f_count = 10000
Function: 7 | Xmin: [4.631126131245285, -11.070934477745816, -9.723154547301135, -13.926322747214233, 9.422270593913066, 6.214392652819853]            | F(X)=  4.919240 | f_count = 10000
Function: 7 | Xmin: [3.475475884149578, 6.965291142860309, -12.455040959600346, -2.150522138521948, -12.851221790505063, -0.6305031960060745]          | F(X)=  5.117385 | f_count = 10000
Function: 7 | Xmin: [6.700199148135681, 0.8541124781473926, 1.55629205906434, 4.674899271202129, -4.126930710276829, -10.47497949153424]               | F(X)=  3.749054 | f_count = 10000
Function: 7 | Xmin: [-3.1044076744658042, -5.129302404851924, 13.74789387698375, -2.7595252857516, 3.83108560163752, -5.784415437158687]               | F(X)=  4.137196 | f_count = 10000
Binary representation
Function: 7 | Xmin: [-0.06160759585417708, -0.23479551237301877, -0.754359261929558, 0.674631784941802, -0.3355039043575516, 1.4535959380948569]       | F(X)=  1.398501 | f_count = 10000
Function: 7 | Xmin: [1.1163754134193908, 0.7318524622057367, 0.6273293584036139, 0.24051758009940727, 2.6811702009971654, 0.616648165314345]           | F(X)=  1.769643 | f_count = 10000
Function: 7 | Xmin: [-0.5964301926810975, -1.0534326684290676, -0.4606264519746901, -0.41484991016353945, 0.1268391679350529, -0.1325612356614556]     | F(X)=  1.194089 | f_count = 10000
Function: 7 | Xmin: [0.9988822894374394, -1.6370835765212135, 2.8589357716971264, 1.6275467969772208, -1.2395906051277379, 0.7486371942031624]         | F(X)=  2.136392 | f_count = 10000
Function: 7 | Xmin: [-0.6757761984870854, -0.12645769675329888, -0.8184464204651718, 0.06580377885352107, -0.6437326192192856, 1.3536504884738463]     | F(X)=  1.360693 | f_count = 10000
Function: 7 | Xmin: [0.001716620317914419, 0.37098072426118023, -0.25844672564211635, -0.4056946018013079, 0.7371930587503712, 0.3633513006259932]     | F(X)=  1.013208 | f_count = 10000
Function: 7 | Xmin: [0.6196999347684269, -0.24395082073525032, 0.8302720270997099, -0.06923701948936412, -0.14171654402368716, -0.032615786040445016]  | F(X)=  1.256278 | f_count = 10000
Function: 7 | Xmin: [0.8157761221928439, -0.337029789084589, 0.1436238999324786, -0.366021598898314, -0.8901630026359655, -2.02008064300783]           | F(X)=  1.560849 | f_count = 10000
Function: 7 | Xmin: [-0.8161575933746121, 0.36564012771654575, -0.16002716074814316, -0.2523431867339596, -0.1859672011077933, 0.34732951099208975]    | F(X)=  1.013247 | f_count = 10000
Function: 7 | Xmin: [-0.4171387372540991, 0.09784735812132794, -0.8932147720900474, -0.4209534490716891, -0.7604628008377148, 0.2595911391873855]      | F(X)=  1.308501 | f_count = 10000
Float representation
Function: 7 | Xmin: [10.899065666612605, 26.71584235742505, -0.5667260385820703, -0.3517450440563348, -50, -2.78211645296156, -19.125284149538853, 21.61391154346303, -8.92464630371476, 18.62734956328482] | F(X)=  8.241894 | f_count = 10000
Function: 7 | Xmin: [-8.560798326651142, 0.7707072081170709, 10.592012036407699, 5.6387046607199345, 32.430015217788196, -19.73538191034981, -8.29903336359893, 61.40501410267368, -16.722301413978386, -16.215695193567896] | F(X)=  8.830752 | f_count = 10000
Function: 7 | Xmin: [-31.32088709403978, -7.877438479831996, 3.6306811211600607, 6.726557575695227, -19.825406982897313, -4.0368082583734, 29.30671779267501, 4.1528128200794185, -7.088981640950171, 33.18104542636408] | F(X)=  7.794191 | f_count = 10000
Function: 7 | Xmin: [-21.627591244384988, 6.9945147363985924, 9.007230767802945, 27.51043296516329, -37.053598913037206, -19.29500804482293, -15.204861668400023, 10.81831803625402, -4.579975309697339, -10.160288409547938] | F(X)=  8.072867 | f_count = 10000
Function: 7 | Xmin: [-1.4458896692131098, -1.715820298026304, 12.66968830584856, -24.80453215619506, -9.467085372670926, -37.53874674215751, -29.84619643228644, -11.227766624257427, 0.15217793421317793, 16.54066463039259] | F(X)=  8.049274 | f_count = 10000
Function: 7 | Xmin: [-15.187810988995311, 12.016801311934568, -7.323205013837933, -9.233975356701896, -11.956947927883494, 9.541566693385223, -0.5644992066263583, 14.843037421136962, 5.696131094492214, 21.740445518170162] | F(X)=  6.203534 | f_count = 10000
Function: 7 | Xmin: [9.58435333467587, -4.6901419759875935, 17.805861272255832, 0.4750510615579717, 17.853337296160255, 3.5690385667240636, -40.38243485595955, -0.0009516899791766065, 10.935266572374758, -10.201145631340276] | F(X)=  7.252059 | f_count = 10000
Function: 7 | Xmin: [-1.5628441068010126, 0.7218556096882729, 33.381486649674464, 3.4372144459124385, -3.9950808560213718, 1.814093248480205, 24.518174916260207, -17.506084870649822, 37.818291804288265, 4.374620697686238] | F(X)=  7.694574 | f_count = 10000
Function: 7 | Xmin: [-13.233419744797963, 7.454625664329928, -27.817235591746922, 7.022350067268688, -22.10537080827499, -12.187503219386855, 1.9336932635585375, 22.358964731136993, -14.447254531717707, -32.9847815241893] | F(X)=  7.704254 | f_count = 10000
Function: 7 | Xmin: [-16.77246979765615, 9.306757633642112, -31.48352064882243, -15.487954342590225, 29.794986367228482, 2.0171834958214294, -23.70190694980538, -11.352175082965005, -14.895851867226865, -7.965011182372768] | F(X)=  7.797110 | f_count = 10000
Binary representation
Function: 7 | Xmin: [-1.7721243748641058, 2.2569742468805174, -7.704001251225478, -1.0931056713320615, -8.362420510942506, 11.635824721621404, 2.5507070568353853, -1.5432416658083596, -4.6682535867827895, 9.842147224987883] | F(X)=  4.484070 | f_count = 10000
Function: 7 | Xmin: [0.4816073669714598, 7.561712500429152, -1.0412255906127612, 7.806616999118802, -1.1175198269646742, -3.1156658770213213, -4.759806670405084, 1.2018249581335354, -0.13713888984256783, 15.59854735773986] | F(X)=  4.538275 | f_count = 10000
Function: 7 | Xmin: [2.1043857741766843, -5.49375722411051, 0.2298363870101383, -2.526674372384541, 4.408471712004513, -7.507162121437538, 2.7292355698988686, -0.3652586565347917, -1.8583368619417655, -0.032615786040445016] | F(X)=  4.036476 | f_count = 10000
Function: 7 | Xmin: [-4.41724554918499, -6.772448625368597, -2.0574648188202644, 12.792445344716427, -1.0084190689814392, 0.4144684389817712, 2.0113068058273527, -9.527433500036238, -8.011467023723696, 2.82078865352117] | F(X)=  4.485548 | f_count = 10000
Function: 7 | Xmin: [-0.3843322156227771, 3.8026954753703137, -3.835883468183397, 4.778498758311301, 6.451631361508788, 6.1517950126457634, -5.312176941592952, 3.1274914836558665, -2.0223694700983827, -10.425416661898282] | F(X)=  4.109939 | f_count = 10000
Function: 7 | Xmin: [-9.784545076542194, -6.733538564829125, 4.78689112431001, 8.248360627596384, 3.3380635759871495, -0.800898746104231, 4.858607706480811, -5.264874515054764, -3.521551214413506, 9.917678518976281] | F(X)=  4.502280 | f_count = 10000
Function: 7 | Xmin: [4.477899467084754, 6.45468313096287, -7.246235833113992, 0.9347951309018327, 3.264058166725789, 3.5188809161411854, 5.043239758452444, -2.342805262776423, -1.367001979835436, -4.842204445665153] | F(X)=  3.799305 | f_count = 10000
Function: 7 | Xmin: [-4.147163952499213, 0.18558572992603217, 1.4017158573755495, -8.911739012676293, -16.356530595896132, -2.5404073349278846, 7.6311402555093935, 3.100788500932694, 9.750594141365589, -5.444165970481762] | F(X)=  4.877378 | f_count = 10000
Function: 7 | Xmin: [11.486288018371646, 5.219479444425367, 5.320950778773415, 0.6929424016662651, 4.092613573507585, 8.304055420133281, -0.1493459676588742, 2.3408979068676246, -3.8381722952739565, 1.8671106991222288] | F(X)=  4.797946 | f_count = 10000
Function: 7 | Xmin: [-1.0282555704329326, 1.1697813788657285, 6.082367257565522, -10.80383607420378, -3.9648207276181324, 12.665796912372251, -9.99359128414644, 18.286393304417814, 3.63027050121498, 2.6987178753581063] | F(X)=  5.297430 | f_count = 10000
