Max iterations: 100
Function: 6 | Xmin: [-1.801658535794516, -1.6406782344237456, -1.7615088279289353, 0.8999113559300156]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-1.0535933331504435, -3.302116128407783, 2.293723388580915, 4.644351956090907]                                                    | F(X)=  0.039063 | f_count = 100000
Function: 6 | Xmin: [0.8705381729784847, 0.856328418888296, -0.14483935586898866, 2.8875603139688053]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [3.642379217709429, 3.512799672802517, 3.4266349217076453, -1.3622346158065497]                                                    | F(X)=  0.037456 | f_count = 100000
Function: 6 | Xmin: [0.13344294235370313, -1.6812094121977879, 1.3043648263763572, 2.303243781682859]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-3.372408814059771, -4.1532290839990935, -3.3079934146866976, -0.39063896963850064]                                               | F(X)=  0.037806 | f_count = 100000
Function: 6 | Xmin: [2.500082254449012, 0.4486324542200322, 1.4684922544919274, 1.114297444485402]                                                     | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-0.33535473762825596, 6.295839900183173, 6.616108922757659, -2.205371494077287]                                                   | F(X)=  0.078372 | f_count = 100000
Function: 6 | Xmin: [-1.8655547454618144, -0.49264454490878506, 2.0941029043688317, 1.3198143576690455]                                                | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [1.372484885565276, 1.602683488014518, -5.279338262278866, 2.822424434645306]                                                      | F(X)=  0.041787 | f_count = 100000
Function: 6 | Xmin: [-1.9779930009808524, 1.37550896430443, 1.5631921592675013, -1.265025742066264]                                                    | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-4.708472873123395, -2.6111514849907067, 1.350737927412297, 3.0548651211681266]                                                   | F(X)=  0.040423 | f_count = 100000
Function: 6 | Xmin: [-0.529933228460898, 1.7244585630696108, -0.5684616892155105, 2.5041830559649725]                                                  | F(X)=  0.009716 | f_count = 100000
Population: 50
Function: 6 | Xmin: [0.8890629687706475, 5.694996409313976, -2.004061009625526, -1.3369036719835354]                                                   | F(X)=  0.038057 | f_count = 100000
Function: 6 | Xmin: [0.6434682099667555, -2.2842179699983447, -0.13377672852359979, 2.04918482264749]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [0.656336997922562, -2.1393339945628105, 2.2485462769219975, -0.28045493659162446]                                                 | F(X)=  0.011808 | f_count = 100000
Function: 6 | Xmin: [-0.9284739153260801, -2.8872265277989015, 0.6993535515563707, 0.40256996277329904]                                                | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [0.7181521029588291, -2.6774317346603382, -1.661853255313944, -0.6922979900981723]                                                 | F(X)=  0.036759 | f_count = 100000
Function: 6 | Xmin: [0.5674603307058064, 0.9520773659121318, 0.0845194265935092, -2.935005633833711]                                                   | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [0.42964249824435186, -0.5736609337751353, 2.9021377554011565, 0.22070933364473788]                                                | F(X)=  0.029129 | f_count = 100000
Function: 6 | Xmin: [1.197648619484248, -0.2937079876460942, 1.4266259320382702, 2.508856062343625]                                                    | F(X)=  0.009716 | f_count = 100000
