"Time","Length","Info"
"11.872076","1434","443  >  51405 [ACK] Seq=97649 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"11.872258","110","Application Data"
"12.032209","1434","443  >  51405 [ACK] Seq=99085 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"12.032210","110","Application Data"
"12.242670","1434","443  >  51405 [ACK] Seq=100521 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"12.242671","110","Application Data"
"12.436420","1434","443  >  51405 [ACK] Seq=101957 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"12.436424","110","Application Data"
"12.554768","1434","443  >  51405 [ACK] Seq=103393 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"12.554770","110","Application Data"
"12.760425","1434","443  >  51405 [ACK] Seq=104829 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"12.760565","110","Application Data"
"12.953374","1434","443  >  51405 [ACK] Seq=106265 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"12.953375","110","Application Data"
"13.113102","1434","443  >  51405 [ACK] Seq=107701 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"13.113259","110","Application Data"
"13.331759","1434","443  >  51405 [ACK] Seq=109137 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"13.331759","110","Application Data"
"13.444732","1434","443  >  51405 [ACK] Seq=110573 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"13.444880","110","Application Data"
"13.631908","1434","443  >  51405 [ACK] Seq=112009 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"13.631908","110","Application Data"
"13.852518","1434","443  >  51405 [ACK] Seq=113445 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"13.852680","110","Application Data"
"13.955715","1434","443  >  51405 [ACK] Seq=114881 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"13.955715","110","Application Data"
"14.156937","1434","443  >  51405 [ACK] Seq=116317 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"14.157191","110","Application Data"
"14.318040","1434","443  >  51405 [ACK] Seq=117753 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"14.318171","110","Application Data"
"14.516665","1434","443  >  51405 [ACK] Seq=119189 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"14.516818","110","Application Data"
"14.720730","1434","443  >  51405 [ACK] Seq=120625 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"14.720865","110","Application Data"
"14.833974","1434","443  >  51405 [ACK] Seq=122061 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"14.834108","110","Application Data"
"15.035897","1434","443  >  51405 [ACK] Seq=123497 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"15.035898","110","Application Data"
"15.188691","1434","443  >  51405 [ACK] Seq=124933 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"15.188839","110","Application Data"
"15.397897","1434","443  >  51405 [ACK] Seq=126369 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"15.397897","110","Application Data"
"15.553871","1434","443  >  51405 [ACK] Seq=127805 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"15.553872","110","Application Data"
"15.715763","1434","443  >  51405 [ACK] Seq=129241 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"15.717596","110","Application Data"
"15.914845","1434","443  >  51405 [ACK] Seq=130677 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"15.923066","110","Application Data"
"16.087868","1434","443  >  51405 [ACK] Seq=132113 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"16.088084","110","Application Data"
"16.272192","1434","443  >  51405 [ACK] Seq=133549 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"16.272339","110","Application Data"
"16.430795","1434","443  >  51405 [ACK] Seq=134985 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"16.430796","110","Application Data"
"16.593694","1434","443  >  51405 [ACK] Seq=136421 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"16.593838","110","Application Data"
"16.790905","1434","443  >  51405 [ACK] Seq=137857 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"16.791612","110","Application Data"
"16.989778","1434","443  >  51405 [ACK] Seq=139293 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"16.989928","110","Application Data"
"17.111386","1434","443  >  51405 [ACK] Seq=140729 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"17.111387","110","Application Data"
"17.331241","1434","443  >  51405 [ACK] Seq=142165 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"17.331242","110","Application Data"
"17.472980","1434","443  >  51405 [ACK] Seq=143601 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"17.480307","110","Application Data"
"17.684427","1434","443  >  51405 [ACK] Seq=145037 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"17.684428","110","Application Data"
"17.880735","1434","443  >  51405 [ACK] Seq=146473 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"17.880883","110","Application Data"
"17.993811","1434","443  >  51405 [ACK] Seq=147909 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"17.993813","110","Application Data"
"18.194714","1434","443  >  51405 [ACK] Seq=149345 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"18.194715","110","Application Data"
"18.352888","1434","443  >  51405 [ACK] Seq=150781 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"18.353138","110","Application Data"
"18.555141","1434","443  >  51405 [ACK] Seq=152217 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"18.555289","110","Application Data"
"18.713754","1434","443  >  51405 [ACK] Seq=153653 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"18.713754","110","Application Data"
"18.872948","1434","443  >  51405 [ACK] Seq=155089 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"18.872949","110","Application Data"
"19.071039","1434","443  >  51405 [ACK] Seq=156525 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"19.071188","110","Application Data"
"19.242794","1434","443  >  51405 [ACK] Seq=157961 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"19.242794","110","Application Data"
"19.417260","1434","443  >  51405 [ACK] Seq=159397 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"19.417840","110","Application Data"
"19.598807","1434","443  >  51405 [ACK] Seq=160833 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"19.598808","110","Application Data"
